"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"1","Reorder IDs","46:./templates2/ocstyle/translate.tpl","ID's neu sortieren","Réorganiser des IDs","ID's opnieuw sorteren","Reordenar IDs","","Reorder IDs",""
"2","The database could not be reconnected.","60:./templates2/ocstyle/error.tpl","Die Verbindung mit der Datenbank konnte nicht wiederhergestellt werden.","La base de données n'a pas pu être connecté.","De verbinding met de database kon niet hersteld worden.","La base de datos no se pudo conectar.","","The database could not be reconnected.",""
"3","Testing – please do not login","188:./templates2/ocstyle/sys_main.tpl","Testbetrieb - bitte nicht einloggen","En cours de test - Ne vous connectez pas, s'il vous plaît","Test - niet inloggen alstublieft","Testing – please do not login","Test - proszę nie logować się","Testing – please do not login",""
"4","User","21:./templates2/ocstyle/adoptcache.tpl","Benutzer","Utilisateur","Gebruiker","Usuario/a","Użytkownik","User",""
"5","(empty)","","(leer)","(vide)","(leeg)","(vacío)","","(empty)",""
"6","Logged in as","2245:./templates2/ocstyle/map2.tpl","Eingeloggt als","Connecté en tant que","Ingelogd als","Conectado como","Zalogowany jako","Logged in as","Вы вошли как"
"7","Logout","2245:./templates2/ocstyle/map2.tpl","Abmelden","Déconnexion","Uitloggen","Cerrar sesión","Wyloguj","Logout","Выход"
"8","Waypoint search:","217:./templates2/ocstyle/sys_main.tpl","Wegpunkt-Suche:","Recherche par Waypoint :","Zoek op waypoint:","Waypoint search:","Szukaj-Waypoint:","Waypoint search:",""
"9","Page timing:","300:./templates2/ocstyle/sys_main.tpl","Seitenberechnung:","Durée page&nbsp;:","Pagina gegenereerd in:","Página de sincronización:","","Page timing:",""
"10","sec","10
310:./lang/de/ocstyle/main.tpl.php
Time to built this page in seconds","sek","seconde","sec","seg","","sec",""
"11","Page cached:","11
302:./templates2/ocstyle/sys_main.tpl
When was this page cached (DateTime).","Zwischengespeichert:","Page en cache&nbsp;:","Cachegeheugen:","Página cargando:","","Page cached:",""
"12","DB connected:","305:./templates2/ocstyle/sys_main.tpl","Datenbankverbindung:","DB connecté&nbsp;:","Database verbonden:","Conectado a la Base de Datos:","Połącznie z Bazą","DB connected:",""
"13","Created at:","116:./templates2/ocstyle/adminreports.tpl","Erstellt am:","Créé à&nbsp;:","Gemaakt op:","Creado el:","","Created at:",""
"14","Privacy statement","332:./lang/de/ocstyle/main.tpl.php","Datenschutzerklärung","Déclaration de confidentialité","Privacyverklaring","Protección de datos","Ochrona danych osobowych","Privacy statement","О конфиденциальности"
"15","Legal information","99:./templates2/ocstyle/sys_oc404.tpl","Impressum","Informations légales","Juridische informatie","Información legal","Imprint","Legal information","О конфиденциальности"
"16","Contact","332:./lang/de/ocstyle/main.tpl.php","Kontakt","Contact","Contact","Contactar","Kontakt","Contact","Контакты"
"17","Sitemap","262:./lang/de/ocstyle/lib/menu.php","Seiten Übersicht","Plan du site","Sitemap","Mapa del Sitio","Sitemap","Sitemap","Карта сайта"
"18","Register","60:./lang/de/ocstyle/login.tpl.php","Registrieren","Inscription","Registreren","Registrar","Rejestracja","Register","Регистрация"
"19","New user registered","10:./templates2/ocstyle/register.tpl","Neuer Benutzer wurde registriert","Nouvel utilisateur inscrit","Nieuwe gebruiker geregistreerd","Nuevo/a usuario/a registrado/a","","New user registered","Новый пользователь зарегистрирован"
"20","Note","107:./templates2/ocstyle/picture.tpl","Hinweis","Note","Opmerking","Nota","Komentarz","Note",""
"21","Vietnamese","0:table:languages;field=name","Vietnamesisch","Vietnamien","Vietnamees","Vietnamita","","Vietnamese",""
"22","Username","10:./templates2/mail/register.tpl","Benutzername","Nom d'utilisateur","Gebruikersnaam","Usuario/a","Użytkownik","Username","Пользователь"
"23","E-mail","","E-Mail","Email","E-mail","E-mail","","E-mail","Электронный адрес"
"24","First name","12:./templates2/mail/register.tpl","Vorname","Prénom","Voornaam","Nombre","Imie","First name","Имя"
"25","Last name","14:./templates2/mail/register.tpl","Nachname","Nom de famille","Achternaam","Apellido","Nazwisko","Last name","Фамилия"
"26","Country","16:./templates2/mail/register.tpl","Land","Pays","Land","País","Kraj","Country","Страна"
"27","Register new user","54:./templates2/ocstyle/register.tpl","Neuen Benutzer registrieren","Créer nouvel utilisateur","Nieuwe gebruiker registreren","Registrar nuevo usuario","Rejestracja nowego użytkownika","Register new user","Регистрация"
"29","The username contains invalid characters.","32:./templates2/ocstyle/myprofile.tpl","Der Benutzername enthält ungültige Zeichen.","Le nom d'utilisateur n'est pas valide.","De gebruikersnaam bevat ongeldige tekens.","El nombre de usuario/a contiene caracteres no válidos.","","The username contains invalid characters.","Недопустимое имя пользователя."
"31","The last name is not valid.","62:./templates2/ocstyle/myprofile.tpl","Der Nachname enthält ungültige Zeichen.","Le dernier nom n'est pas valide.","De achternaam bevat ongeldige tekens.","El apellido no es válido.","","The last name is not valid.",""
"32","The first name is not valid.","48:./templates2/ocstyle/myprofile.tpl","Der Vorname enthält ungültige Zeichen.","Le premier nom n'est pas valide.","De voornaam bevat ongeldige tekens.","El nombre no es válido.","","The first name is not valid.",""
"33","Not specified","254:./templates2/ocstyle/log_cache.tpl","Keine Angabe","Non spécifié","Niet gespecificeerd","No especificado","","Not specified","Не указана"
"34","Show all","23:./lang/de/ocstyle/editcache.inc.php","alle anzeigen","Montre tout","Toon alles","Mostrar todo","pokaż wszystkie","Show all","Показать все"
"35","The e-mail address is not valid.","46:./templates2/ocstyle/newemail.tpl","Die E-Mail-Adresse ist nicht gültig.","L'adresse e-mail n'est pas valide.","Het e-mailadres is niet geldig.","La dirección de correo electrónico no es válida.","","The e-mail address is not valid.","Недопустимый адрес электронной почты."
"36","Turkish","0:table:languages;field=name","Türkisch","Turc","Turks","Turco","","Turkish","Турецкий"
"37","Your password:","133:./templates2/ocstyle/register.tpl","Dein Passwort:","Votre mot de passe&nbsp;:","Jouw wachtwoord:","Tu contraseña:","Twoje hasło:","Your password:","Пароль:"
"39","The passwords do not match.","109:./templates2/ocstyle/newpw.tpl","Die beiden Passwörter sind nicht identisch.","Les mots de passe ne correspondent pas.","Beide wachtwoorden komen niet overeen.","La contraseña no coincide.","","The passwords do not match.","Пароли не совпадают."
"41","* mandatory field","159:./templates2/ocstyle/register.tpl","* Pflichtangabe","* Champ obligatoire","* zijn verplichte velden","* Campo obligatorio","pola zaznaczone * są wymagane","* mandatory field","Звёздочкой (*) отмечены поля, обязательные для заполнения."
"42","Swedish","0:table:languages;field=name","Schwedisch","Suédois","Zweeds","Sueco","","Swedish","Шведский"
"43","Slovenian","0:table:languages;field=name","Slowenisch","Slovène","Sloveens","Esloveno","","Slovenian","Словенский"
"45","at least 4 different characters","11:./templates2/ocstyle/res_passworderror.tpl","mindestens 4 unterschiedliche Zeichen","au moins 4 caractères différents","ten minste 4 verschillende tekens","al menos 4 caracteres diferentes","","at least 4 different characters","Использованы, как минимум, 4 разные символа"
"48","Slovak","0:table:languages;field=name","Slowakisch","Slovaque","Slovaaks","Eslovaco","","Slovak",""
"49","Russian","0:table:languages;field=name","Russisch","Russe","Russisch","Ruso","","Russian","Русский"
"51","Reset","24:./lang/de/expressions.inc.php","Zurücksetzen","Réinitialiser","Herstellen","Restablecer","Wyczyść","Reset","Очистить форму"
